status,start_date,end_date,starting_equity,ending_equity,net_pnl,daily_profit_sum,equity_reconciliation_error,net_return,cagr,max_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,annualized_volatility,sharpe_zero_rf,sortino_zero_mar,calmar,turnover,trading_costs,adverse_execution_costs,explicit_fees,dividend_income,realized_pnl,unrealized_pnl,buy_count,sell_count,completed_round_trips,win_rate,payoff_ratio,profit_factor,average_holding_days,median_holding_days,profitable_days,losing_days,best_day,worst_day,average_invested_exposure,average_cash_allocation,average_approx_3x_invested_exposure,best_month,worst_month,monthly_returns,calendar_year_returns,minimum_equity,maximum_equity,risk_definition,candidate_id,track_id,pair_id,strategy_id,variant,cost_scenario,execution_delay_sessions,protocol_hash,phase,window_id,benchmark,artifact_path
OK,2023-09-19,2024-03-18,1000.0,1104.4676364534153,104.46763645341525,104.46763645341525,0.0,0.10446763645341517,0.22202709604370763,0.04261357746477057,2023-12-19,2023-12-20,4,0.11743543220419207,1.764623786666944,1.564554414918857,5.210243055215478,2088.117048280305,2.098200700374933,2.088200700374933,0.01,3.2765978187899996,93.84053780406501,7.350500830560001,2,1,1,1.0,,,30.0,30.0,38,33,0.04017402775337087,-0.04261357746477057,0.16504433155088677,0.8349556684491133,0.49513299465266025,0.13374737335539044,-0.03007637216486503,"{'2023-09': 0.0, '2023-10': 0.0, '2023-11': 0.0, '2023-12': 0.13374737335539044, '2024-01': -0.03007637216486503, '2024-02': 0.004508491983377327, '2024-03': -0.0001253702992729533}","{'2023': 0.13374737335539044, '2024': -0.025825627110667715}",992.5394122666002,1144.63952948539,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W1,False,L01__SPXL_SOXL__long_105/base/W1
OK,2024-03-19,2024-09-18,1000.0,673.1456425859202,-326.8543574140798,-326.8543574140798,0.0,-0.32685435741407975,-0.5461393310918181,0.551203698407503,2024-07-10,2024-08-05,49,0.8839243899079013,-0.4317243614506828,-0.4535728671629259,-0.990812167388723,1662.7123279662198,1.6723702457399212,1.6623702457399212,0.01,3.22857080166,-331.5161331786899,1.4332049629500008,2,1,1,,,,122.0,122.0,66,49,0.18912062150746412,-0.20886829724592326,0.6677757258704262,0.3322242741295738,2.0033271776112787,0.2697093869023597,-0.3065378543191378,"{'2024-03': 0.0, '2024-04': -0.1662420181489297, '2024-05': 0.2697093869023597, '2024-06': 0.141193012701609, '2024-07': -0.19615009628480373, '2024-08': -0.3065378543191378, '2024-09': -0.00044228187288253284}",{'2024': -0.32685435741407964},670.4524536359202,1493.8903267627304,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W2,False,L01__SPXL_SOXL__long_105/base/W2
OK,2024-09-19,2025-03-18,1000.0,999.7010132192603,-0.2989867807397104,-0.2989867807397104,0.0,-0.0002989867807396962,-0.0006066006674562141,0.16048956592562214,2024-12-06,2025-03-04,67,0.35349812776248457,0.1751526888566038,0.2109297603777165,-0.003779689127811208,1979.6877964230998,1.9896874841398084,1.9796874841398084,0.01,2.0029838034,-2.301970584139702,0.0,1,1,1,,,,153.0,153.0,59,45,0.07370979717541237,-0.08799919314006266,0.8298860163651592,0.17011398363484076,2.489658049095477,0.1723219029297023,-0.08418352465911072,"{'2024-09': 0.0, '2024-10': -0.008359881043619177, '2024-11': 0.1723219029297023, '2024-12': -0.08418352465911072, '2025-01': 0.0661725936373252, '2025-02': -0.05012563874895226, '2025-03': -0.07281364406461743}","{'2024': 0.06465627969978094, '2025': -0.06101055121643273}",991.6401189563803,1190.8142801363801,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W3,False,L01__SPXL_SOXL__long_105/base/W3
OK,2025-03-19,2025-09-18,1000.0,1129.93822113221,129.93822113220995,129.93822113220995,0.0,0.12993822113220999,0.27612131067187806,0.042587464401566244,2025-06-12,2025-06-20,7,0.12130610747692037,2.059048545668312,2.026696544203916,6.483628799035125,2116.22397005449,2.1263349256898585,2.1163349256898587,0.01,3.6923487879000003,121.53165058465012,4.714221759660002,2,1,1,1.0,,,29.0,29.0,44,31,0.03143775895170475,-0.03347032044203557,0.16134166292456859,0.8386583370754315,0.48402498877370553,0.13079346300314953,-0.004721302771561131,"{'2025-03': 0.0, '2025-04': 0.0, '2025-05': 0.0, '2025-06': 0.13079346300314953, '2025-07': -0.004721302771561131, '2025-08': 0.00048762341742403237, '2025-09': 0.003494463916071}",{'2025': 0.12993822113220888},1000.0,1130.7934630031502,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W4,False,L01__SPXL_SOXL__long_105/base/W4
OK,2025-09-19,2026-03-18,1000.0,1381.6947956440804,381.6947956440804,381.6947956440804,0.0,0.3816947956440804,0.9271680946999654,0.3733820890314826,2025-10-29,2025-11-20,29,1.027995645702792,1.1595768557792026,1.5721165664487577,2.483161677907343,990.9899758959199,0.9899999759198955,0.9899999759198955,0.0,0.0,0.0,381.69479564408016,1,0,0,,,,,,64,50,0.15856855113873713,-0.18852165452753122,0.9205797567419262,0.07942024325807384,2.7617392702257786,0.46620732634273465,-0.13861479175601543,"{'2025-09': 0.0, '2025-10': 0.22313217116408013, '2025-11': -0.13545356580909929, '2025-12': 0.018503132033601544, '2026-01': 0.46620732634273465, '2026-02': 0.015769678677987065, '2026-03': -0.13861479175601543}","{'2025': 0.07702077841407973, '2026': 0.2828859232211227}",791.9129824740801,1835.02127332408,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W5,False,L01__SPXL_SOXL__long_105/base/W5
OK,2026-03-19,2026-09-18,1000.0,2252.81520628032,1252.8152062803201,1252.8152062803201,0.0,1.25281520628032,4.058311159501278,0.69318555872586,2026-06-22,2026-07-29,62,1.5144095893064926,1.8323061925856625,2.479925950139323,5.8545812278040446,3243.8457085526798,3.2550927996799714,3.2450927996799717,0.01,0.0,1252.84591139632,-0.030705115999999654,2,1,1,1.0,,,153.0,153.0,69,47,0.24597119527357236,-0.30465280263504524,0.8246378564280035,0.17536214357199653,2.473913569284011,1.7382804467998194,-0.5689756237363679,"{'2026-03': 0.0, '2026-04': 1.7382804467998194, '2026-05': 0.764212053782005, '2026-06': 0.18851286646469934, '2026-07': -0.5689756237363679, '2026-08': -0.016762319817454907, '2026-09': -0.07416706620543889}",{'2026': 1.2528152062803208},1000.0,6473.671091169819,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W6,False,L01__SPXL_SOXL__long_105/base/W6
OK,2023-09-19,2024-03-18,1000.0,1100.4395204763778,100.43952047637777,100.43952047637777,0.0,0.10043952047637772,0.21305002741812729,0.04337776577493968,2023-12-27,2024-01-04,55,0.11780223191429247,1.6969202624422433,1.4924873620568617,4.911503015704214,2086.4881716047375,5.2267526274124085,5.216752627412409,0.01,3.2765978187899996,90.72664830766253,6.436274349925001,2,1,1,1.0,,,30.0,30.0,38,33,0.040230802073150995,-0.04266934115829857,0.16448321356573084,0.8355167864342692,0.49344964069719255,0.13226237345529057,-0.03184184099387655,"{'2023-09': 0.0, '2023-10': 0.0, '2023-11': 0.0, '2023-12': 0.13226237345529057, '2024-01': -0.03184184099387655, '2024-02': 0.003970073555006115, '2024-03': -0.00011045738541282102}","{'2023': 0.13226237345529057, '2024': -0.02810554666918752}",991.0544123665001,1143.1545295852898,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W1,False,L01__SPXL_SOXL__long_105/stress/W1
OK,2024-03-19,2024-09-18,1000.0,670.4785607405603,-329.5214392594397,-329.5214392594397,0.0,-0.32952143925943966,-0.5497213782603156,0.552322906847905,2024-07-10,2024-08-05,49,0.8856038472886687,-0.43799722748276654,-0.46132916844632227,-0.9952898412227076,1661.7222132823,4.1621768910998815,4.152176891099882,0.01,3.22857080166,-333.99134919172485,1.2413391306250001,2,1,1,,,,122.0,122.0,65,50,0.18946513263912035,-0.20918817584336313,0.6681457451938091,0.3318542548061909,2.0044372355814275,0.2701906213625058,-0.3082640702796765,"{'2024-03': 0.0, '2024-04': -0.1677270181473246, '2024-05': 0.2701906213625058, '2024-06': 0.14139135025889904, '2024-07': -0.19639150097504687, '2024-08': -0.3082640702796765, '2024-09': -0.00038960222408368494}",{'2024': -0.32952143925943966},668.1156784905602,1492.4053267643353,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W2,False,L01__SPXL_SOXL__long_105/stress/W2
OK,2024-09-19,2025-03-18,1000.0,996.73148199305,-3.2685180069499893,-3.2685180069499893,0.0,-0.0032685180069499387,-0.006621212999392778,0.16193816254783988,2024-12-06,2025-03-04,67,0.3541448477756806,0.15827069895169116,0.19064404521442913,-0.04088729237888404,1979.6882648477501,4.959218710350054,4.9492187103500545,0.01,2.0029838034,-5.271501810349947,0.0,1,1,1,,,,153.0,153.0,59,45,0.07381600986795767,-0.08811146887424981,0.8310048208661379,0.16899517913386208,2.493014462598414,0.17258034525941923,-0.08429119786904371,"{'2024-09': 0.0, '2024-10': -0.009844880869049888, '2024-11': 0.17258034525941923, '2024-12': -0.08429119786904371, '2025-01': 0.06626502116227839, '2025-02': -0.05019130132606453, '2025-03': -0.07429281524266795}","{'2024': 0.06317127987435045, '2025': -0.06249209242103693}",990.1551191309501,1189.32928031095,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W3,False,L01__SPXL_SOXL__long_105/stress/W3
OK,2025-03-19,2025-09-18,1000.0,1126.2086130177001,126.20861301770015,126.20861301770015,0.0,0.12620861301770026,0.2677281564546534,0.04264760822696312,2025-06-12,2025-06-20,7,0.12116747775264088,2.0070770656616714,1.9679282911013503,6.277682795946046,2114.5535042872,5.297086610199835,5.287086610199835,0.01,3.6923487879000003,118.37618268662516,4.140081543175,2,1,1,1.0,,,29.0,29.0,44,31,0.03148272427397014,-0.03351758864963916,0.16094165830340915,0.8390583416965909,0.4828249749102275,0.1293084630260255,-0.006245715337531044,"{'2025-03': 0.0, '2025-04': 0.0, '2025-05': 0.0, '2025-06': 0.1293084630260255, '2025-07': -0.006245715337531044, '2025-08': 0.0004311981916784724, '2025-09': 0.003090277154260912}",{'2025': 0.12620861301770092},1000.0,1129.3084630260253,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W4,False,L01__SPXL_SOXL__long_105/stress/W4
OK,2025-09-19,2026-03-18,1000.0,1380.2097956802002,380.20979568020016,380.20979568020016,0.0,0.3802097956802002,0.922967494155861,0.37382134318656646,2025-10-29,2025-11-20,29,1.0293005383257277,1.1572993472317457,1.5691403216181679,2.4690069493844473,992.4749758598,2.4749999398000093,2.4749999398000093,0.0,0.0,0.0,380.20979568020005,1,0,0,,,,,,64,50,0.15874161210572768,-0.18878066266616678,0.9216998034579011,0.07830019654209885,2.765099410373703,0.46685102214221574,-0.13874323863581628,"{'2025-09': 0.0, '2025-10': 0.2216471712002004, '2025-11': -0.1356182193564378, '2025-12': 0.018529152812529537, '2026-01': 0.46685102214221574, '2026-02': 0.015784522249783217, '2026-03': -0.13874323863581628}","{'2025': 0.07553577845020043, '2026': 0.2832765058443909}",790.4279825102,1833.5362733601999,daily_mark_to_market_equity,L01__SPXL_SOXL__long_105,b,SPXL_SOXL,L01,long_105,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W5,False,L01__SPXL_SOXL__long_105/stress/W5
