candidate_id,cost_scenario,phase,window_id,metric,before,after
A02__QQQM_SMH__primary,stress,evaluation,W1,sortino_zero_mar,5.2807733645201935,5.069432150413219
A02__QQQM_SMH__primary,stress,evaluation,W2,win_rate,1.0,0.3
A02__QQQM_SMH__primary,stress,evaluation,W2,sortino_zero_mar,0.10732800802246792,0.11262809745431367
A02__QQQM_SMH__primary,stress,evaluation,W3,win_rate,1.0,0.3333333333333333
A02__QQQM_SMH__primary,stress,evaluation,W3,sortino_zero_mar,-0.9803410696672133,-1.1251577696294854
A02__QQQM_SMH__primary,stress,evaluation,W4,sortino_zero_mar,5.05916065212282,6.23580318589827
A02__QQQM_SMH__primary,stress,evaluation,W5,win_rate,1.0,0.2857142857142857
A02__QQQM_SMH__primary,stress,evaluation,W5,sortino_zero_mar,1.1047800817482574,1.1229433748972286
A02__QQQM_SMH__primary,stress,evaluation,W6,win_rate,1.0,0.8571428571428571
A02__QQQM_SMH__primary,stress,evaluation,W6,sortino_zero_mar,2.06951860313878,2.3078143496591523
A02__QQQM_SMH__primary,stress,delay,,win_rate,1.0,0.6976744186046512
A02__QQQM_SMH__primary,stress,delay,,sortino_zero_mar,1.6132405634031968,1.8177880698459266
A02__QQQM_SMH__primary,stress,stress,stress_2020,win_rate,,0.0
A02__QQQM_SMH__primary,stress,stress,stress_2020,sortino_zero_mar,3.754868290413911,3.8986885371436144
A02__QQQM_SMH__primary,stress,stress,stress_2022,win_rate,,0.0
A02__QQQM_SMH__primary,stress,stress,stress_2022,sortino_zero_mar,-1.8708032330997186,-2.533978091428637
A02__QQQM_SMH__primary,severe,continuous,,win_rate,1.0,0.6744186046511628
A02__QQQM_SMH__primary,severe,continuous,,sortino_zero_mar,1.477986653620954,1.6578083880372572
A02__QQQM_SMH__primary,severe,evaluation,W1,max_drawdown,0.05020140116007121,0.050576997152729786
A02__QQQM_SMH__primary,severe,evaluation,W1,win_rate,,0.0
A02__QQQM_SMH__primary,severe,evaluation,W1,sortino_zero_mar,5.218583550311407,4.979514935262849
A02__QQQM_SMH__primary,severe,evaluation,W2,win_rate,1.0,0.2
A02__QQQM_SMH__primary,severe,evaluation,W2,sortino_zero_mar,0.043729050967321305,0.04572556246116446
A02__QQQM_SMH__primary,severe,evaluation,W3,win_rate,1.0,0.3333333333333333
A02__QQQM_SMH__primary,severe,evaluation,W3,sortino_zero_mar,-1.0870271702446341,-1.2450189576935815
A02__QQQM_SMH__primary,severe,evaluation,W4,sortino_zero_mar,5.017539312099791,6.184475899504158
A02__QQQM_SMH__primary,severe,evaluation,W5,win_rate,1.0,0.2857142857142857
